PERIODO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,Estrato - Internet,PUNT_GLOBAL,Conteo
2018-01-01,-,Estrato 2,No,Estrato 2 - No,270.3333333333333,3
2018-01-01,-,Estrato 2,Si,Estrato 2 - Si,274.0,2
2018-01-01,AMAZONAS,Estrato 1,No,Estrato 1 - No,212.58695652173913,276
2018-01-01,AMAZONAS,Estrato 1,Si,Estrato 1 - Si,208.6969696969697,33
2018-01-01,AMAZONAS,Estrato 2,No,Estrato 2 - No,228.77844311377245,167
2018-01-01,AMAZONAS,Estrato 2,Si,Estrato 2 - Si,235.61363636363637,44
2018-01-01,AMAZONAS,Estrato 3,No,Estrato 3 - No,235.46666666666667,75
2018-01-01,AMAZONAS,Estrato 3,Si,Estrato 3 - Si,255.77142857142857,35
2018-01-01,AMAZONAS,Sin Estrato,No,Sin Estrato - No,207.08965517241379,145
2018-01-01,AMAZONAS,Sin Estrato,Si,Sin Estrato - Si,202.66666666666666,21
2018-01-01,ANTIOQUIA,Estrato 1,No,Estrato 1 - No,223.24566273421235,10087
2018-01-01,ANTIOQUIA,Estrato 1,Si,Estrato 1 - Si,238.47824156305506,6756
2018-01-01,ANTIOQUIA,Estrato 2,No,Estrato 2 - No,232.27627193956897,9002
2018-01-01,ANTIOQUIA,Estrato 2,Si,Estrato 2 - Si,252.3851700893557,19137
2018-01-01,ANTIOQUIA,Estrato 3,No,Estrato 3 - No,235.2268085106383,2350
2018-01-01,ANTIOQUIA,Estrato 3,Si,Estrato 3 - Si,266.5176798806203,15413
2018-01-01,ANTIOQUIA,Sin Estrato,No,Sin Estrato - No,209.53067047075606,701
2018-01-01,ANTIOQUIA,Sin Estrato,Si,Sin Estrato - Si,220.94153846153847,325
2018-01-01,ARAUCA,Estrato 1,No,Estrato 1 - No,244.23278921220725,1409
2018-01-01,ARAUCA,Estrato 1,Si,Estrato 1 - Si,259.76637554585153,458
2018-01-01,ARAUCA,Estrato 2,No,Estrato 2 - No,248.20443349753694,406
2018-01-01,ARAUCA,Estrato 2,Si,Estrato 2 - Si,266.140243902439,328
2018-01-01,ARAUCA,Estrato 3,No,Estrato 3 - No,228.9430894308943,123
2018-01-01,ARAUCA,Estrato 3,Si,Estrato 3 - Si,258.75539568345323,139
2018-01-01,ARAUCA,Sin Estrato,No,Sin Estrato - No,221.53439153439155,189
2018-01-01,ARAUCA,Sin Estrato,Si,Sin Estrato - Si,222.7173913043478,46
2018-01-01,ATLANTICO,Estrato 1,No,Estrato 1 - No,233.62433714764165,7166
2018-01-01,ATLANTICO,Estrato 1,Si,Estrato 1 - Si,250.452698542992,4873
2018-01-01,ATLANTICO,Estrato 2,No,Estrato 2 - No,234.85475040257649,3105
2018-01-01,ATLANTICO,Estrato 2,Si,Estrato 2 - Si,260.20138996138996,6475
2018-01-01,ATLANTICO,Estrato 3,No,Estrato 3 - No,225.09196617336153,946
2018-01-01,ATLANTICO,Estrato 3,Si,Estrato 3 - Si,266.7657240370551,4102
2018-01-01,ATLANTICO,Sin Estrato,No,Sin Estrato - No,207.8733031674208,442
2018-01-01,ATLANTICO,Sin Estrato,Si,Sin Estrato - Si,224.76271186440678,236
2018-01-01,BOGOTA,Estrato 1,No,Estrato 1 - No,237.95272045028142,2665
2018-01-01,BOGOTA,Estrato 1,Si,Estrato 1 - Si,252.25350949628407,6055
2018-01-01,BOGOTA,Estrato 2,No,Estrato 2 - No,251.36055948886204,5791
2018-01-01,BOGOTA,Estrato 2,Si,Estrato 2 - Si,264.7732162994118,32811
2018-01-01,BOGOTA,Estrato 3,No,Estrato 3 - No,256.3095238095238,2268
2018-01-01,BOGOTA,Estrato 3,Si,Estrato 3 - Si,280.91255752794217,28899
2018-01-01,BOGOTA,Sin Estrato,No,Sin Estrato - No,231.77358490566039,159
2018-01-01,BOGOTA,Sin Estrato,Si,Sin Estrato - Si,252.97067448680352,341
2018-01-01,BOLIVAR,Estrato 1,No,Estrato 1 - No,225.9472045485312,7387
2018-01-01,BOLIVAR,Estrato 1,Si,Estrato 1 - Si,240.99580632863135,2623
2018-01-01,BOLIVAR,Estrato 2,No,Estrato 2 - No,227.05492957746478,2840
2018-01-01,BOLIVAR,Estrato 2,Si,Estrato 2 - Si,257.72837418991264,3549
2018-01-01,BOLIVAR,Estrato 3,No,Estrato 3 - No,216.64575645756457,1084
2018-01-01,BOLIVAR,Estrato 3,Si,Estrato 3 - Si,259.54244482173175,2356
2018-01-01,BOLIVAR,Sin Estrato,No,Sin Estrato - No,202.634126984127,1260
2018-01-01,BOLIVAR,Sin Estrato,Si,Sin Estrato - Si,212.54474708171207,257
2018-01-01,BOYACA,Estrato 1,No,Estrato 1 - No,250.65749621403333,3962
2018-01-01,BOYACA,Estrato 1,Si,Estrato 1 - Si,263.0600985221675,1015
2018-01-01,BOYACA,Estrato 2,No,Estrato 2 - No,260.71753246753246,4004
2018-01-01,BOYACA,Estrato 2,Si,Estrato 2 - Si,279.7467348097672,3522
2018-01-01,BOYACA,Estrato 3,No,Estrato 3 - No,254.02025782688767,543
2018-01-01,BOYACA,Estrato 3,Si,Estrato 3 - Si,291.4058219178082,1752
2018-01-01,BOYACA,Sin Estrato,No,Sin Estrato - No,227.70634920634922,126
2018-01-01,BOYACA,Sin Estrato,Si,Sin Estrato - Si,254.1219512195122,41
2018-01-01,CALDAS,Estrato 1,No,Estrato 1 - No,234.82509109838625,1921
2018-01-01,CALDAS,Estrato 1,Si,Estrato 1 - Si,243.60980592441265,979
2018-01-01,CALDAS,Estrato 2,No,Estrato 2 - No,239.32301631963983,1777
2018-01-01,CALDAS,Estrato 2,Si,Estrato 2 - Si,258.2960073428178,2179
2018-01-01,CALDAS,Estrato 3,No,Estrato 3 - No,245.3587786259542,393
2018-01-01,CALDAS,Estrato 3,Si,Estrato 3 - Si,272.51614530776993,1982
2018-01-01,CALDAS,Sin Estrato,No,Sin Estrato - No,220.0,115
2018-01-01,CALDAS,Sin Estrato,Si,Sin Estrato - Si,214.28571428571428,42
2018-01-01,CAQUETA,Estrato 1,No,Estrato 1 - No,235.71516267648863,1629
2018-01-01,CAQUETA,Estrato 1,Si,Estrato 1 - Si,252.67724867724868,756
2018-01-01,CAQUETA,Estrato 2,No,Estrato 2 - No,234.74734607218684,471
2018-01-01,CAQUETA,Estrato 2,Si,Estrato 2 - Si,257.806640625,512
