PERIODO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,ESTU_DEDICACIONINTERNET,Estrato - Internet,PUNT_GLOBAL,Conteo
2017-01-01,AMAZONAS,Estrato 1,NO,Estrato 1 - NO,220.22784810126583,79
2017-01-01,AMAZONAS,Estrato 1,SI,Estrato 1 - SI,226.39810426540285,211
2017-01-01,AMAZONAS,Estrato 2,NO,Estrato 2 - NO,219.68571428571428,35
2017-01-01,AMAZONAS,Estrato 2,SI,Estrato 2 - SI,241.6534090909091,176
2017-01-01,AMAZONAS,Estrato 3,NO,Estrato 3 - NO,236.2,15
2017-01-01,AMAZONAS,Estrato 3,SI,Estrato 3 - SI,258.425,80
2017-01-01,AMAZONAS,Sin Estrato,NO,Sin Estrato - NO,208.27118644067798,59
2017-01-01,AMAZONAS,Sin Estrato,SI,Sin Estrato - SI,210.62637362637363,91
2017-01-01,ANTIOQUIA,Estrato 1,NO,Estrato 1 - NO,220.6854571293226,2111
2017-01-01,ANTIOQUIA,Estrato 1,SI,Estrato 1 - SI,239.16163778222744,14483
2017-01-01,ANTIOQUIA,Estrato 2,NO,Estrato 2 - NO,229.0480461242793,1561
2017-01-01,ANTIOQUIA,Estrato 2,SI,Estrato 2 - SI,253.14333307804242,26114
2017-01-01,ANTIOQUIA,Estrato 3,NO,Estrato 3 - NO,225.07212475633528,513
2017-01-01,ANTIOQUIA,Estrato 3,SI,Estrato 3 - SI,267.8157568604308,16945
2017-01-01,ANTIOQUIA,Sin Estrato,NO,Sin Estrato - NO,206.5645933014354,209
2017-01-01,ANTIOQUIA,Sin Estrato,SI,Sin Estrato - SI,219.20609756097562,820
2017-01-01,ARAUCA,Estrato 1,NO,Estrato 1 - NO,242.4907063197026,269
2017-01-01,ARAUCA,Estrato 1,SI,Estrato 1 - SI,254.60562414266118,1458
2017-01-01,ARAUCA,Estrato 2,NO,Estrato 2 - NO,238.61702127659575,47
2017-01-01,ARAUCA,Estrato 2,SI,Estrato 2 - SI,260.992,625
2017-01-01,ARAUCA,Estrato 3,NO,Estrato 3 - NO,252.1875,16
2017-01-01,ARAUCA,Estrato 3,SI,Estrato 3 - SI,256.63186813186815,182
2017-01-01,ARAUCA,Sin Estrato,NO,Sin Estrato - NO,225.66666666666666,39
2017-01-01,ARAUCA,Sin Estrato,SI,Sin Estrato - SI,238.0608695652174,115
2017-01-01,ATLANTICO,Estrato 1,NO,Estrato 1 - NO,230.89071038251367,732
2017-01-01,ATLANTICO,Estrato 1,SI,Estrato 1 - SI,244.24265402843602,11605
2017-01-01,ATLANTICO,Estrato 2,NO,Estrato 2 - NO,230.42066420664207,271
2017-01-01,ATLANTICO,Estrato 2,SI,Estrato 2 - SI,255.45654794520547,9125
2017-01-01,ATLANTICO,Estrato 3,NO,Estrato 3 - NO,225.02479338842974,121
2017-01-01,ATLANTICO,Estrato 3,SI,Estrato 3 - SI,261.0980432972523,4804
2017-01-01,ATLANTICO,Sin Estrato,NO,Sin Estrato - NO,206.59036144578315,83
2017-01-01,ATLANTICO,Sin Estrato,SI,Sin Estrato - SI,214.75465313028764,591
2017-01-01,BOGOTA,Estrato 1,NO,Estrato 1 - NO,237.88489208633092,556
2017-01-01,BOGOTA,Estrato 1,SI,Estrato 1 - SI,254.20991547874354,7927
2017-01-01,BOGOTA,Estrato 2,NO,Estrato 2 - NO,246.5644699140401,1047
2017-01-01,BOGOTA,Estrato 2,SI,Estrato 2 - SI,268.19345482405737,36546
2017-01-01,BOGOTA,Estrato 3,NO,Estrato 3 - NO,251.5011135857461,449
2017-01-01,BOGOTA,Estrato 3,SI,Estrato 3 - SI,283.59721034278573,30398
2017-01-01,BOGOTA,Sin Estrato,NO,Sin Estrato - NO,237.9047619047619,63
2017-01-01,BOGOTA,Sin Estrato,SI,Sin Estrato - SI,238.40618101545255,453
2017-01-01,BOLIVAR,Estrato 1,NO,Estrato 1 - NO,225.7647754137116,846
2017-01-01,BOLIVAR,Estrato 1,SI,Estrato 1 - SI,237.13123081807598,9449
2017-01-01,BOLIVAR,Estrato 2,NO,Estrato 2 - NO,229.27169811320755,265
2017-01-01,BOLIVAR,Estrato 2,SI,Estrato 2 - SI,249.49948096885814,5780
2017-01-01,BOLIVAR,Estrato 3,NO,Estrato 3 - NO,219.31623931623932,117
2017-01-01,BOLIVAR,Estrato 3,SI,Estrato 3 - SI,252.91947626841244,3055
2017-01-01,BOLIVAR,Sin Estrato,NO,Sin Estrato - NO,200.53813559322035,236
2017-01-01,BOLIVAR,Sin Estrato,SI,Sin Estrato - SI,211.41987466427932,1117
2017-01-01,BOYACA,Estrato 1,NO,Estrato 1 - NO,251.46314325452016,719
2017-01-01,BOYACA,Estrato 1,SI,Estrato 1 - SI,256.4342602892102,4495
2017-01-01,BOYACA,Estrato 2,NO,Estrato 2 - NO,263.4004024144869,497
2017-01-01,BOYACA,Estrato 2,SI,Estrato 2 - SI,272.94646562456774,7229
2017-01-01,BOYACA,Estrato 3,NO,Estrato 3 - NO,244.59420289855072,69
2017-01-01,BOYACA,Estrato 3,SI,Estrato 3 - SI,285.4991204925242,2274
2017-01-01,BOYACA,Sin Estrato,NO,Sin Estrato - NO,239.725,40
2017-01-01,BOYACA,Sin Estrato,SI,Sin Estrato - SI,246.54225352112675,142
2017-01-01,CALDAS,Estrato 1,NO,Estrato 1 - NO,232.9494680851064,376
2017-01-01,CALDAS,Estrato 1,SI,Estrato 1 - SI,245.4160853508412,2437
2017-01-01,CALDAS,Estrato 2,NO,Estrato 2 - NO,236.25762711864408,295
2017-01-01,CALDAS,Estrato 2,SI,Estrato 2 - SI,254.39939276842395,3623
2017-01-01,CALDAS,Estrato 3,NO,Estrato 3 - NO,239.74285714285713,70
2017-01-01,CALDAS,Estrato 3,SI,Estrato 3 - SI,269.2392055267703,2316
2017-01-01,CALDAS,Sin Estrato,NO,Sin Estrato - NO,216.27272727272728,33
2017-01-01,CALDAS,Sin Estrato,SI,Sin Estrato - SI,238.3170731707317,164
2017-01-01,CAQUETA,Estrato 1,NO,Estrato 1 - NO,230.8779761904762,336
2017-01-01,CAQUETA,Estrato 1,SI,Estrato 1 - SI,249.5828511309837,1901
2017-01-01,CAQUETA,Estrato 2,NO,Estrato 2 - NO,240.85897435897436,78
2017-01-01,CAQUETA,Estrato 2,SI,Estrato 2 - SI,255.72617743702082,913
2017-01-01,CAQUETA,Estrato 3,NO,Estrato 3 - NO,216.8846153846154,26
2017-01-01,CAQUETA,Estrato 3,SI,Estrato 3 - SI,247.2668918918919,296
2017-01-01,CAQUETA,Sin Estrato,NO,Sin Estrato - NO,207.825,80
2017-01-01,CAQUETA,Sin Estrato,SI,Sin Estrato - SI,218.8057142857143,175
2017-01-01,CASANARE,Estrato 1,NO,Estrato 1 - NO,238.6955380577428,381
2017-01-01,CASANARE,Estrato 1,SI,Estrato 1 - SI,253.39953810623555,2165
2017-01-01,CASANARE,Estrato 2,NO,Estrato 2 - NO,244.04511278195488,133
2017-01-01,CASANARE,Estrato 2,SI,Estrato 2 - SI,263.7314375987362,1899
2017-01-01,CASANARE,Estrato 3,NO,Estrato 3 - NO,239.96,25
2017-01-01,CASANARE,Estrato 3,SI,Estrato 3 - SI,270.2024048096192,499
2017-01-01,CASANARE,Sin Estrato,NO,Sin Estrato - NO,214.9512195121951,41
2017-01-01,CASANARE,Sin Estrato,SI,Sin Estrato - SI,229.1090909090909,110
2017-01-01,CAUCA,Estrato 1,NO,Estrato 1 - NO,230.4734432234432,1092
2017-01-01,CAUCA,Estrato 1,SI,Estrato 1 - SI,238.71024042742653,5615
